,rank,title,views_mn,href,group,subgroup,continent,data_completed,sport,country,time,artist
88,59,Tupac Shakur,89,/wiki/Tupac_Shakur,Top-100 list,,,,,,,
89,59,Angelina Jolie,89,/wiki/Angelina_Jolie,Top-100 list,,,,,,,
90,63,Queen Victoria,88,/wiki/Queen_Victoria,Top-100 list,,,,,,,
91,63,Jeffrey Dahmer,88,/wiki/Jeffrey_Dahmer,Top-100 list,,,,,,,
92,65,John F. Kennedy,87,/wiki/John_F._Kennedy,Top-100 list,,,,,,,
93,65,COVID-19 pandemic[25],87,/wiki/COVID-19_pandemic,Top-100 list,,,,,,,
94,67,"Diana, Princess of Wales",86,"/wiki/Diana,_Princess_of_Wales",Top-100 list,,,,,,,
95,67,Marilyn Monroe,86,/wiki/Marilyn_Monroe,Top-100 list,,,,,,,
96,69,Keanu Reeves,85,/wiki/Keanu_Reeves,Top-100 list,,,,,,,
97,69,Arnold Schwarzenegger,85,/wiki/Arnold_Schwarzenegger,Top-100 list,,,,,,,
98,69,How I Met Your Mother,85,/wiki/How_I_Met_Your_Mother,Top-100 list,,,,,,,
99,69,Chernobyl disaster,85,/wiki/Chernobyl_disaster,Top-100 list,,,,,,,
100,69,France,85,/wiki/France,Top-100 list,,,,,,,
101,69,Ariana Grande,85,/wiki/Ariana_Grande,Top-100 list,,,,,,,
102,75,Jennifer Aniston,84,/wiki/Jennifer_Aniston,Top-100 list,,,,,,,
103,75,Breaking Bad,84,/wiki/Breaking_Bad,Top-100 list,,,,,,,
104,77,"Meghan, Duchess of Sussex",83,"/wiki/Meghan,_Duchess_of_Sussex",Top-100 list,,,,,,,
105,77,Muhammad Ali,83,/wiki/Muhammad_Ali,Top-100 list,,,,,,,
106,77,Will Smith,83,/wiki/Will_Smith,Top-100 list,,,,,,,
107,80,Ted Bundy,82,/wiki/Ted_Bundy,Top-100 list,,,,,,,
108,80,Pablo Escobar,82,/wiki/Pablo_Escobar,Top-100 list,,,,,,,
109,80,Mila Kunis,82,/wiki/Mila_Kunis,Top-100 list,,,,,,,
110,80,Vietnam War,82,/wiki/Vietnam_War,Top-100 list,,,,,,,
111,80,Mark Zuckerberg,82,/wiki/Mark_Zuckerberg,Top-100 list,,,,,,,
112,85,Manchester United F.C.,81,/wiki/Manchester_United_F.C.,Top-100 list,,,,,,,
113,85,William Shakespeare,81,/wiki/William_Shakespeare,Top-100 list,,,,,,,
114,87,Titanic[26],80,/wiki/Titanic,Top-100 list,,,,,,,
115,87,Tom Brady,80,/wiki/Tom_Brady,Top-100 list,,,,,,,
116,87,Jay-Z[27],80,/wiki/Jay-Z,Top-100 list,,,,,,,
117,87,Singapore,80,/wiki/Singapore,Top-100 list,,,,,,,
118,87,Earth,80,/wiki/Earth,Top-100 list,,,,,,,
119,87,Bill Gates,80,/wiki/Bill_Gates,Top-100 list,,,,,,,
120,[a],Wikipedia:Contact us,80,/wiki/Wikipedia:Contact_us,Top-100 list,,,,,,,
121,93,Winston Churchill,78,/wiki/Winston_Churchill,Top-100 list,,,,,,,
122,93,Bruce Lee,78,/wiki/Bruce_Lee,Top-100 list,,,,,,,
123,93,Nicki Minaj,78,/wiki/Nicki_Minaj,Top-100 list,,,,,,,
