rank,title,views_mn,href,group,subgroup,continent,data_completed,sport,country,time,artist
15,Jupiter,15,/wiki/Jupiter,Universe,,,,,,,
16,Venus,14,/wiki/Venus,Universe,,,,,,,
17,Supernovae,13,/wiki/Supernovae,Universe,,,,,,,
18,Andromeda Galaxy,12,/wiki/Andromeda_Galaxy,Universe,,,,,,,
19,Mercury (planet),10,/wiki/Mercury_(planet),Universe,,,,,,,
20,Neptune,9.5,/wiki/Neptune,Universe,,,,,,,
21,Uranus,9.2,/wiki/Uranus,Universe,,,,,,,
22,Solar eclipse,7.6,/wiki/Solar_eclipse,Universe,,,,,,,
23,Lunar eclipse,7.2,/wiki/Lunar_eclipse,Universe,,,,,,,
24,Dark energy,7.0,/wiki/Dark_energy,Universe,,,,,,,
24,Halley's Comet,7.0,/wiki/Halley%27s_Comet,Universe,,,,,,,
26,Event horizon,6.5,/wiki/Event_horizon,Universe,,,,,,,
27,Titan (moon),6.2,/wiki/Titan_(moon),Universe,,,,,,,
28,Eclipse,5.7,/wiki/Eclipse,Universe,,,,,,,
28,Sirius,5.7,/wiki/Sirius,Universe,,,,,,,
30,Winter solstice,5.4,/wiki/Winter_solstice,Universe,,,,,,,
30,Ceres (dwarf planet),5.4,/wiki/Ceres_(dwarf_planet),Universe,,,,,,,
30,Alpha Centauri,5.4,/wiki/Alpha_Centauri,Universe,,,,,,,
1,Mount Everest,46,/wiki/Mount_Everest,Earth,,,,,,,
2,Bermuda Triangle,44,/wiki/Bermuda_Triangle,Earth,,,,,,,
3,Africa,40,/wiki/Africa,Earth,,,,,,,
4,Hurricane Katrina,36,/wiki/Hurricane_Katrina,Earth,,,,,,,
5,North America,34,/wiki/North_America,Earth,,,,,,,
6,Earthquake,32,/wiki/Earthquake,Earth,,,,,,,
7,Climate change,31,/wiki/Climate_change,Earth,,,,,,,
7,Continent,31,/wiki/Continent,Earth,,,,,,,
9,Antarctica,30,/wiki/Antarctica,Earth,,,,,,,
9,Asia,30,/wiki/Asia,Earth,,,,,,,
11,Tsunami,28,/wiki/Tsunami,Earth,,,,,,,
12,Volcano,26,/wiki/Volcano,Earth,,,,,,,
13,South America,23,/wiki/South_America,Earth,,,,,,,
